,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
56224,True,0.0,0.4,0.11,False,False,244.3,120.3,0.76,1.0,3.37,1.52
56229,False,0.0,0.25,0.14,False,False,250.38,415.2,1.59,1.0,4.49,2.14
56234,True,0.14,0.6,0.07,True,False,308.65,418.93,2.06,1.0,0.93,1.92
56239,False,0.07,0.25,0.21,False,False,264.38,441.85,0.75,1.0,3.91,2.28
56244,False,0.11,0.4,0.29,False,False,266.9,371.75,0.85,1.0,10.23,1.17
56249,True,0.11,0.32,0.16,False,False,358.96,402.45,1.2,3.0,5.01,1.28
56254,True,0.23,0.41,0.09,False,False,342.66,568.67,2.57,1.0,1.49,2.17
56259,False,0.0,0.41,0.36,False,False,219.59,213.0,0.9,1.0,8.04,1.81
56264,True,0.16,0.45,0.12,False,False,362.99,631.9,1.54,1.0,3.04,1.82
56269,False,0.0,0.2,0.28,False,False,234.7,269.6,1.01,2.0,6.89,1.13
56274,True,0.04,0.56,0.12,False,False,303.54,416.84,1.0,1.0,2.17,1.17
56279,False,0.04,0.16,0.16,False,False,237.86,185.89,0.92,1.0,3.62,0.64
56284,False,0.1,0.31,0.21,False,False,258.14,164.62,1.17,1.0,4.05,2.16
56289,True,0.17,0.31,0.14,False,False,353.72,510.46,1.23,2.0,4.15,1.71
56294,True,0.19,0.24,0.29,False,False,348.28,535.2,0.8,2.0,11.8,1.54
56299,False,0.11,0.53,0.16,False,False,281.11,439.07,1.96,2.0,6.71,1.8
56304,False,0.25,0.4,0.49,False,True,444.26,378.29,1.42,1.0,12.09,2.13
56309,True,0.52,0.49,0.31,False,False,567.95,1265.24,0.62,4.0,9.99,1.3
56314,False,0.0,0.46,0.22,False,False,231.02,345.15,0.59,1.0,5.98,2.48
56319,True,0.15,0.59,0.09,False,True,372.76,608.74,0.96,1.0,2.01,1.64
56324,True,0.16,0.76,0.04,False,False,357.71,973.56,1.05,1.0,1.21,1.33
56329,False,0.08,0.12,0.32,False,False,263.7,543.1,0.16,2.0,5.79,1.45
56334,True,0.25,0.2,0.08,False,False,309.85,758.97,0.87,1.0,3.57,1.87
56343,True,0.18,0.39,0.25,True,False,374.53,477.87,1.36,3.0,5.48,1.07
56344,True,0.14,0.57,0.18,False,True,320.99,486.6,1.07,2.0,4.51,2.22
56349,False,0.11,0.39,0.21,False,False,291.12,212.14,1.15,0.0,3.94,2.22
56354,True,0.03,0.43,0.03,False,False,271.86,134.2,0.96,0.0,0.69,1.61
56359,False,0.03,0.0,0.26,False,False,196.08,276.67,1.22,1.0,6.59,1.02
56364,False,0.04,0.43,0.14,False,True,273.02,302.53,1.77,1.0,3.76,2.03
56369,True,0.04,0.25,0.25,False,False,250.45,211.28,0.4,1.0,5.14,1.16
56374,False,0.1,0.57,0.3,False,False,298.99,245.67,1.18,1.0,8.16,1.44
56379,True,0.07,0.6,0.2,False,False,324.01,410.85,1.07,1.0,6.55,2.05
56384,True,0.13,0.77,0.21,False,False,371.57,198.09,0.34,1.0,4.81,1.62
56389,False,0.47,0.13,0.3,False,False,415.11,832.72,0.51,3.0,7.19,2.72
56394,False,0.06,0.32,0.35,False,False,261.41,649.19,1.5,1.0,9.33,1.97
56399,True,0.12,0.68,0.26,False,False,337.09,459.58,2.21,1.0,9.36,1.15
56404,True,0.0,0.55,0.17,False,False,267.52,288.62,1.48,0.0,4.66,1.72
56409,False,0.07,0.59,0.21,True,False,271.93,407.93,0.83,1.0,5.52,1.69
56414,False,0.04,0.48,0.3,False,False,262.09,276.37,1.42,2.0,7.86,1.3
56419,True,0.15,0.71,0.15,False,False,326.05,395.04,1.27,0.0,3.73,1.01
56424,True,0.0,0.28,0.24,False,False,231.09,210.95,1.46,1.0,4.96,1.89
56429,False,0.28,0.24,0.12,False,False,342.0,392.0,0.83,1.0,4.18,1.73
56434,True,0.08,0.8,0.08,False,False,361.73,360.6,0.36,1.0,2.21,1.2
56439,False,0.08,0.52,0.24,False,False,277.91,468.47,0.56,0.0,4.9,0.12
56444,False,0.18,0.53,0.25,False,False,298.51,609.25,1.56,1.0,5.88,1.06
56449,True,0.11,0.53,0.14,False,False,307.37,309.35,1.28,1.0,3.83,1.17
